Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized,Simple Greedy,Semi-greedy-1,Simple local,,GRASP-1,
,,,,,,No. of iterations,Average value,No. of iterations,Best value,
g01,800,19176,9556,10967,11207,320,11395,50,11444,12078
g02,800,19176,9607,11036,11251,311,11402,50,11491,12084
g03,800,19176,9645,11018,11235,328,11388,50,11474,12077
g04,800,19176,9566,11050,11264,308,11408,50,11497,
g05,800,19176,9620,11056,11175,315,11404,50,11504,
g06,800,19176,126,1488,1733,340,1928,50,2035,
g07,800,19176,-118,1422,1554,332,1752,50,1836,
g08,800,19176,-54,1320,1604,349,1779,50,1869,
g09,800,19176,-36,1428,1661,340,1808,50,1881,
g10,800,19176,-53,1275,1597,300,1766,50,1845,
g11,800,1600,20,432,462,107,480,50,502,627
g12,800,1600,3,418,454,112,469,50,496,621
g13,800,1600,25,418,488,110,494,50,534,645
g14,800,4694,2330,2901,2930,135,2969,50,2991,3187
g15,800,4661,2311,2876,2943,135,2950,50,2979,3169
g16,800,4672,2349,2896,2942,129,2952,50,2976,3172
g17,800,4667,2333,2887,2921,133,2951,50,2963,
g18,800,4694,23,807,824,160,880,50,920,
g19,800,4661,-59,743,767,160,792,50,839,
g20,800,4672,-12,728,790,161,821,50,866,
g21,800,4667,-26,701,760,163,804,50,839,
g22,2000,19990,9971,12402,12749,254,12939,50,13029,14123
g23,2000,19990,10010,12300,12692,261,12930,50,12999,14129
g24,2000,19990,9965,12361,12767,247,12935,50,13026,14131
g25,2000,19990,10032,12393,12773,246,12925,50,13007,
g26,2000,19990,9974,12327,12791,271,12932,50,13054,
g27,2000,19990,-43,2322,2652,284,2913,50,2983,
g28,2000,19990,-42,2294,2543,285,2858,50,2950,
g29,2000,19990,28,2369,2707,306,2954,50,3050,
g30,2000,19990,24,2412,2719,286,2963,50,3034,
g31,2000,19990,10,2334,2626,270,2876,50,2974,
g32,2000,4000,-2,1026,1166,113,1201,50,1220,1560
g33,2000,4000,-28,1008,1156,118,1178,50,1218,1537
g34,2000,4000,-30,980,1168,122,1184,50,1214,1541
g35,2000,11778,5893,7284,7378,142,7446,50,7482,8000
g36,2000,11766,5909,7222,7377,149,7434,50,7466,7996
g37,2000,11785,5892,7254,7379,152,7451,50,7480,8009
g38,2000,11779,5886,7231,7365,157,7444,50,7485,
g39,2000,11778,47,1938,1953,191,2104,50,2161,
g40,2000,11766,-67,1896,1950,194,2097,50,2159,
g41,2000,11785,-5,1876,2046,179,2110,50,2160,
g42,2000,11779,79,1967,2050,185,2186,50,2258,
g43,1000,9990,4947,6172,6386,227,6456,50,6525,7027
g44,1000,9990,5005,6168,6376,224,6454,50,6532,7022
g45,1000,9990,4971,6200,6338,240,6459,50,6496,7020
g46,1000,9990,5009,6186,6366,218,6454,50,6511,
g47,1000,9990,4994,6231,6331,226,6462,50,6505,
g48,3000,6000,3019,6000,5826,80,5731,50,5860,6000
g49,3000,6000,2991,6000,5798,83,5756,50,5934,6000
g50,3000,6000,2987,5878,5800,86,5728,50,5852,5988
g51,1000,5909,2934,3623,3711,132,3729,50,3761,
g52,1000,5916,2986,3632,3691,133,3734,50,3750,
g53,1000,5914,2946,3651,3681,136,3730,50,3753,
g54,1000,5916,2952,3633,3698,134,3727,50,3751,
