Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized,Simple Greedy,Semi-greedy-1,Simple local,,GRASP-1,,
,,,,,,No. of iterations,Average value,No. of iterations,Best value,
g1,800,19176,9590,47,11120,10,11387,10,11387,
g2,800,19176,9562,272,11125,10,11364,10,11364,
g3,800,19176,9564,88,11044,10,11319,10,11319,
g4,800,19176,9583,180,11112,10,11334,10,11334,
g5,800,19176,9574,40,11166,10,11368,10,11368,
g6,800,19176,75,-1376,1466,10,1799,10,1799,
g7,800,19176,-82,-1549,1376,10,1707,10,1707,
g8,800,19176,-71,-1535,1390,10,1713,10,1713,
g9,800,19176,-44,-1464,1499,10,1786,10,1786,
g10,800,19176,-82,-1523,1388,10,1771,10,1771,
g11,800,1600,15,-396,458,10,484,10,484,
g12,800,1600,0,-416,448,10,468,10,468,
g13,800,1600,13,-388,482,10,502,10,502,
g14,800,4694,2364,111,2942,10,2967,10,2967,
g15,800,4661,2343,78,2915,10,2951,10,2951,
g16,800,4672,2353,107,2911,10,2944,10,2944,
g17,800,4667,2328,103,2911,10,2952,10,2952,
g18,800,4694,30,-729,749,10,864,10,864,
g19,800,4661,-44,-805,713,10,779,10,779,
g20,800,4672,-22,-762,744,10,819,10,819,
g21,800,4667,-30,-710,732,10,788,10,788,
g22,2000,19990,10016,39,12697,10,12908,10,12908,
g23,2000,19990,9997,99,12652,10,12900,10,12900,
g24,2000,19990,9964,20,12637,10,12910,10,12910,
g25,2000,19990,9987,81,12574,10,12857,10,12857,
g26,2000,19990,9987,64,12599,10,12891,10,12891,
g27,2000,19990,10,-2361,2434,10,2767,10,2767,
g28,2000,19990,-29,-2374,2387,10,2826,10,2826,
g29,2000,19990,71,-2364,2467,10,2859,10,2859,
g30,2000,19990,41,-2308,2433,10,2867,10,2867,
g31,2000,19990,-48,-2400,2467,10,2815,10,2815,
g32,2000,4000,-1,-1014,1134,10,1184,10,1184,
g33,2000,4000,-21,-1074,1144,10,1188,10,1188,
g34,2000,4000,-10,-1036,1108,10,1154,10,1154,
g35,2000,11778,5880,77,7327,10,7413,10,7413,
g36,2000,11766,5894,101,7350,10,7441,10,7441,
g37,2000,11785,5887,53,7342,10,7414,10,7414,
g38,2000,11779,5906,43,7333,10,7432,10,7432,
g39,2000,11778,50,-1861,1803,10,2045,10,2045,
g40,2000,11766,-68,-1878,1818,10,2063,10,2063,
g41,2000,11785,1,-1931,1853,10,2078,10,2078,
g42,2000,11779,50,-1773,1913,10,2133,10,2133,
g43,1000,9990,4991,29,6299,10,6450,10,6450,
g44,1000,9990,5002,55,6283,10,6404,10,6404,
g45,1000,9990,4976,16,6236,10,6404,10,6404,
g46,1000,9990,4987,110,6246,10,6404,10,6404,
g47,1000,9990,4983,62,6289,10,6398,10,6398,
g48,3000,6000,3006,120,5910,10,5914,10,5914,
g49,3000,6000,3026,200,5810,10,5814,10,5814,
g50,3000,6000,3007,240,5870,10,5874,10,5874,
g51,1000,5909,2964,139,3696,10,3725,10,3725,
g52,1000,5916,2957,130,3670,10,3720,10,3720,
g53,1000,5914,2949,77,3687,10,3715,10,3715,
g54,1000,5916,2987,136,3702,10,3733,10,3733,
